page,text_arabic_ocr
69,":-تقديم أصل الفاتورة الضريبية الخاصة بمدخلات أداء
الخدمة

4-أن تتحقق المصلحة من سابقة توريد الضريبة» لم يكن
سداد الضريبة مثبت بالنظام الالكتروني بالمصلحة

وفى جميع الأحوال يجب مراعاة الآتي:

١-لا‏ يرد من الضريبة إلا ما سبق تحصيله منها بالفئة ذاتها
والقيمة التي كانت سارية وقت السداد أو التحميل وعلى ما تم
تصديره بالفعل» وبما لا يجاوز الرصيد الدائن للخدمات التي
يسري بشأنها الخصم الضربي*

؟-تقديم ما يفيد توريد قيمة الصادرات إلى أحد البنوك
الخاضعة لإشراف البنك المركزي وفقاً للضوابط التي
يحددهاء أو وفقاً لأي من طرق السداد أو التسوبات الأخرى
ومنها ما يأني:

أ أي من طرق الدفع الالكتروني الأخرى من المستورد
اووكيله اللي المصدر وذلك بالعملات الاجنبية

ب- الإيداع البني بقيمة الصفقة بالعملات الأجنبية طبقاً
لإجراءات البنك المركزي الخاصة بالدول التي يتعذز
بها التحودلات البنكية وطبقاً لمستندات التصدير
التي نص عليها القانون *

ج- التسويات الناتجة عن البيع بالمقايضة وعلى المسجل
تقديم ما يفيد أن قيمة السلعة المصدرة بالمقايضة
سداداً لقيمة السلع المستوردة ومعتمد من مصلحة
الجمارك.

د-التسويات بين الشركات القابضة أو الأم والشركات التابعة

لها.

المحاسب القانوني 2774 أاخطه ما"
70,"“”-ألا تقل قيمة الصادرات عن قيمة مدخلاتها.
:-ألا يكون قد تم إدراج الضريبة المطلوب ردها ضمن عناصر
التكلفة
4- ترد الضريبة في موعد غايته خمسة واريعون يوماً من تاريخ
تقديم الطلب مؤيدا بالمستندات *
*(معدلة بالقرارالوزاري رقم ‎١98‏ بتاريخ 74-
مارس-9١١٠)‏
*معدلة بالقرار الوزاري رقم -75- يتاربخ 7١-يناير-‏
1

(مادة /17؟)
في تطبيق أحكام البنود أرقام (١)ء‏ (؟)» (2)» (0) من المادة
‎)٠٠0(‏ من القانون ترد الضريبة في الحالات التالية وبالشروط
والإجراءات المبينة قرين كل منها:
١-الضرببة‏ التي حصلت بطريق الخطأ:
يتقدم صاحب الشأن بطلب كتابي موضحاً به قيمة الضريبة
المحصلة بالخطأ وسببه مع ذكر بيان الفترة الضريبية التي وقع
فيها الخطأ وبرفق بالطلب المستندات المؤيدة لذلك.
؟-الرصيد الدائن الذي مر عليه أكثر من ست فترات ضردبية
يتقدم المُسجل بطلب كتابي او الكتروني مُوضحاً به قيمة
الرصيد الدائن المُستحق طبقاً لأحكام المادة( ١؟/”)‏ من
القانون » ويرفق بالطلب المستندات المؤيدة له.
ويتم الرد بعد مُراجعة المُستندات المؤيدة للطلب والتحقق
من صحتها » وذلك دون الاخلال بما ورد في شانة نص خاص
في هذه اللائحة بشأن رد الضريبة اوالرصيد الدائن في الحالات

| كان ااضرائب | تجميع واعداد: مصطفي سلامة عبد السميع حدم . لاتدعلاعصدعلكامل 6 مطص1 :اأهص-ع عد
المحاسب القانوني 770 أاضخطه ا"
71,"المنصوص عليها في البنود ارقام ‎)١(‏ و (5؟) و(5) و(0) من

المادة ‎٠٠١‏ من القانون والتي مر الرصيد الدائن فيها كثر من

ست فترات ضخبرببية مُتتالية""

واستثناء من حُكم الفقرة السابقة من هذه المادة » يجب ان

يكون طلب الاسترداد المُقدم من صاحب الشأن الي المراكز

او المناطق المُدمجة بالمصلحة الكترونياً اذا كان طالب

الاسترداد مُسجلاً » وعلي المصلحة في جميع الاحوال التحقق

من صحة الرصيد الدائن او مبلغ الضريبة المطلوب ردها »

بحسب الأحوال."" *

معدل بالقرار الوزاري رقم -110- الصادر بتاريخ ١٠-مايو-‏

1

”""-الضربية_السابق_سدادها على الاتوديسات وسيارات

الركوب إذا كان استخدامها هو النشاط المرخص به

(أ) تقديم طلب كتابي او الكتروني لاسترداد الضريبة» مرفقاً به
المستندات الدالة على سبق سدادها.

ب)أن يكون استخدام الاتوبيسات وسيارات الركوب هو
النشاط المرخص به للمنشاة

(ج)ان يكون قد تم الافراج النهاني عن المستورد منهاء وسداد
كامل الضريبة بالنسبة للمحلي والمستورد

(د) ألا يكون قد تم ادراج الضريبة المطلوب ردها ضمن عناصر
التكلفة.

»الا إذا أجريت التسوية المحاسبية والضريبة اللازمة» وتقديم

ما يفيد ذلك للمصلحة خلا مدة لا تتجاوز سنة من تاريخ

الشراء او الاستيران *

المحاسب القانوني 004 0 0 اما"
72,"في حالة التصرف في الاتوبيسات وسيارات الركوب السابق رد

الضريبة عليها أو استخدامها في غير النشاط المرخص به

لمنشاة قبل مضى خمس سنوات من تاريخ الشراء او الاستيراد

تلتزم المنشاة قبل التصرف باخطار المأمورية المختصة

وسداد الضريبة السابق ردها وفقاً لقيمتها وفئة الضردية

السارية في تاريخ التصرف. *

نظام تسجيل الموردين المبسط لأغراض_تأدية_نشاطه

داخل البلاد:

يتقدم المسجل غير المقيم بطلب الكتروني على النموذج

المعد لذلك موضحاً به قيمة الضريبة المطلوب ردهاء ويرفق

بالطلب المستندات المؤيدة له في صيغة رقمية وعلى

المصلحة التحقق من ذلك.

ولا يرد من الضريبة الا ما سبق تحصيل منها بالفئة والعملة

ذاتها والقيمة التي كانت سارية وقت السداد

وبتعين استخدام السلع والخدمات الخاضعة للضريبة

لأغراض نشاط الشخص المسجل غير المقيم داخل مصر

وفي جميع أحوال رد الضريبة المنصوص عليها في هذه المادة

لا يتم رد الضريبة الا في حدود الرصيد الدائن

ونرد الضريبة في موعد غايته خمسة واريعون يوماً من تاريخ

تقديم الطلب المؤيد بالمستندات*

*معدلة بالقرار الوزاري رقم -51- بتاريخ ؟7١-يناير-77 ‎٠١‏
‏المحاسب القانوني 004 0 0 اما"
73,"(مادة 7؟)
مع عدم الاخلال بأحكام المادتين (5؟) و (07) من قانون
الإجراءات الضربيية الموحد الصادر بالقانون رقم ‎٠١1‏ لسنة
.*
يجب أن يكون من بين المستندات الدالة على أحقية المكلف
في رد الضريبة» في جميع حالات الرد المنصوص عليها في
المادة ‎)٠٠١(‏ من القانون شهادة موقعة من محاسب مقيد
بجدول المحاسبين والمراجعين» تفيد أحقية المكلف في رد
الضريبة» ولا يتم قبول طلب الرد غير المقترن بتقديم هذه
الشهادة. وذلك ما لم يكن سداد الضريبة مثيتاً بالنظام
الالكتروني بالمصلحة *
*مضافة بالقرار الوزاري رقم -75- بتاربخ 7١-يناير-77١٠‏
(مادة 78 مكرر)
*ملغاة بالقرار الوزاري رقم -55- بتاريخ ؟١١-يناير-‏
1
(مادة 78 مكرر)
في جميع حالات خصم الضريبة او ردها المنصوص عليها في
المادتين ‎)٠١( »)5١(‏ من القانون» لا يعتد بغير الفواتير
الالكترونية في خصم الضريبة او ردها اعتباراً من الأول من
يوليو ‎7٠١77‏ وذلك بالنسبة للمسجلين بمنظومة الفاتورة
الضريبية الالكترونية » ودستثني من ذلك الفواتير الورقية
السابق صدورها من المكلفين والمحررة قبل تاريخ الزامهم
بإصدار فواتير ضريبية الكترونية
*مضافة بالقرار الوزاري رقم -188- بتاريخ 9-ابريل-77 ‎٠١‏
‏| كان ااضرائب | تجميع واعداد: مصطفي سلامة عبد السميع زوع . طأوءلاعصق ل كاه0 60 مهلصا :اتهص-ع 8
المحاسب القانوني 004 ام"
74,"(مادة ‎٠١‏ مكرر) (مادة ‎١‏ ؟)
يحق لمغادري البلاد من الزائرين الآجانب لمصر لمدة لا تزيد | في تطبيق احكام المادة ‎٠٠١(‏ مكرراً) من القانون ترد الضريبة
على ثلاثة أشهر استرداد الضردبة السابق سدادها للبائع المسجل على مشتربات الزائرين الأجانب عند مغادرتهم البلاد وفقاً
عن مشترباته لسلع خاضعه للضريبة بشرط الا تقل قيمة | للضوابط التالية:
شترباته بالفاتورة الواحدة عن ‎١6٠٠‏ جنية ان يتم خرو-
مشترباته بالفاتورة الواحدة عن ‎٠ ١‏ 19 جنية وعلى ان يتم رتت | ١_الحصول‏ علي نموذج رد الضريبة (174 ض ق م ) موضحاً
شترباته من ‎١‏ ته او باى وسيلة ‎<١‏ تحد
مشترباته من البلاد بصحبته و بي وسدا الريك 2-0 | به قيمة السلعة المشتراة والضريبة المسددة عنها ء بالإضافة
اللائحة التنفيذية ضوابط تطبيق هذه المادة.
لدية ضوابط تطبيق هاده المادة لي اصل الفاتورة الضريبية الموضح بها مبلغ الضرببة
*معدلة بقانون بالقانون رقم ‎٠‏ بتاريخ 51-يناير-77١٠‏
المسددة.
؟- الا تقل قيمة السلع المشتراة من البائع المسجل عن ألف
وخمسماتة جنية للفاتورة الواحدة.
'- أن يتم خروج السلع المشتراة بصحبة الزائر الأجنبي
المغادر للبلادء او باي وسيلة اخري خلال ثلاثة أشهر من
تاريخ وصولة الي مصر
:- يتم عرض السلع المشتراة على موظف الجمرك المسئول
بالمنفذ الجمري لمعاينتها ومطابقتها علي اصل فاتورة الشراء
الورقية او الالكترونية ونموذج رد الضريبة رقم (5؟١١‏ ض ق م
(
ان يقوم موظف الجمرك المختص بعد المطابقة» بختم
المستندات بختم الجمرك بما يفيد "" لا مانع من الرد ""
ويتم تقديم المستندات المنصوص عليها في هذه المادة الي
الخزينة لاستلام مبلغ الضريبة الذي تمت الموافقة على رده
مخصوماً منه 6 مصاريف إدارية.
دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع رع .طأوءلاعصقلكاه0 © هلصا :اأهصدع 4/
المحاسب القانوني 77004 أاضخطه ما"
75,"وفي حال تعذر استلام مبلغ الضريبة لاي سبب من الأسباب
يمكن للزائر الأجنبي المغادر تسليم مستندات رد الضريبة
للموظف المختص بالمنفذ الجمري» والذي يتولى ارسالها لي
إدارة رد الضردبة بالمصلحة لإعمال شئونها وارسال شيك
بمبلخ الضريبة بالجنية المصري علي عنوان الأجنبي المغادر
الموضح بنموذج الرد بعد خصم المصاريف الإدارية المقررة»
وذلك خلال ثلاثة أشهر من تاريخ المغادرة *
*معدلة بالقرار الوزاري رقم -71- يتار بخ ١١-يناير-؟7.”‏
دكان الضرائب تجميع واعداد: مصطفى سلامة عبد السميع حرم .انوع ل اعصقء ااهل هم مكص 1 :الأقصع 15
‎١‏ المحاسب القانوني 4 اما أطهالا"
76,"فهرس القانون
اليماب الثاى
الضم سه القشمة المضافة
(الفصل السادس)
المواد من ‎""١‏ الى ‎١0‏"
77,"(الفصل السادس) (الفصل السادس)
تحصيل الضردبة (تحصيل الضرببة)
(مادة ‎)9١‏ (مادة 559)
تلتزم الوزرات والمصالح والجهات الحكومية ووحدات الإدارة | تلتزم الجهات الإدارية المة في المادة (١؟)‏ من
المحلية والهيئات العامة وغيرها من الأشخاص الاعتباربة العامة | القانون بتوريد الضريبة وضريبة الجدول المستحقة علي
بتوريد ضريبة الجدول المستحقة عليها للمصلحة مياءة, | مشترباتها من السلع والخدمات طبقاً لأحكام المادة المذكورة
وذلك خلال عشرة أيام من تاريخ استحقاقهاء كما تلتزم «هزه | في المواعيد المقررة علي استمارة الصرف وتعلية المبالغ
المضافة المستحقة عليها للمصلحة مباشرة خلال المدة المي | مجمعة بدلالة رقم التسجيل الضربي بتلك القيمة لحساب
اليهاء وذلك تحت حساب الضريبة» وفي هذه الحالة لا يجو | مأمورية الضرائب التي يتبعها المسجل علي الكود المؤسسي
للمصلحة مطالبة المكلف بتحصيل ما تم توريده: وذلك كله | للوحدة الحسابية الرئيسية بالإدارة المركزية للشئون المالية
طبقاً لما تبينه اللائحة التنفيذية. بالمصلحة مع طباعته وتوقيعه وختمة بخاتم شعار
وتؤدي الضريبة على السلع المستوردة في مرحلة الافراج عنها | الجمهورية وإرساله للمنطقة الضريبية » وإعطاء المسجل بيانا
من مصلحة الجمارك وفقاً للإجراءات المقررة لسداد الض مية ‎١‏ موجها للمامورية التابع لها متضمنا ( اسم المسجلء رقم
الجمركية, ولا يجوز الافراج النهائي عن هذه السلع قبل سداد التسجيل» رقم الفاتورة, تاريخهاء الكمية» القيمة, الضردبة او
الضريبة المستحقة بالكاملء ما لم يثبت ان المسجل غير المقيم | ضريبة الجدول الموردة)
ه ه ه : الإدارة المركزبة للشئون المالية با ة إضافة
قام بتحصيل الضريبة عن السلعة المستوردة التي يتم الافراج وعلي الإدارة المركزية للشئون المالية بالمصلحة إضافة
عنها من الجمارك. المبالغ التير تم تورديها للوحدة الحسابية الرئيسية طرفها ال
ومع عدم الاخلال بحكم المادة ‎١‏ مكرر من هذا القانون, يجوز | حصيلة المامورية
لرئيس المصلحة اومن يفوضه الافراج المؤقت لمدة ثلاثة شي ‎١‏ (الضريبة / ضريبة الجدول المسددة)ء وارسالها لكل مأمورية
عن الرسائل الواردة للعملية الإنتاجية او ممارسة النشاط؛ وذرك | تم السداد لاحد مسجليها على حدة بناء على تقارير
وفقاً الضمانات التي تراها مصلحة الجمارك مناسبة لحين موافة | مستخرجة من قواعد بيانات المصلحة بالحاسب الالي
صاحب الشأن المصلحة بالمستندات اللازمة لبحث مري | مصنفة طبقا لكل مأموريه
التمتع بالإعفاء خلال المدة المذكورة او سداد الضية ‎١‏ ويقوم المسجل بتسوية او توريد بافي الضريبة المستحقة وفقا
للضوابط والقواعد المنصوص عليها بالقانون
دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع حرم .طزتوعل اعصق ااهل © مص[ :اأقصع 77
المحاسب القانوني 77004 أاضخطه ما"
78,"المستحقة وكذا الضريبة الإضافية التي تحسب اعتباراً من تاريخ | وتلتزم المأموريات التنفيذية المختصة بتسوية تلك المبالغ
الافراج عن هذه الرسائل بحسابات المسجلين لديها وفقاً للكشوف الواردة اليهاء
*معدلة قانون الإجراءات الضريبية الموحد بتاريخ 9١-أكتوير-‏ | ودكون تاريخ تسوية اذن التسوية الالكتروني هو تاريخ سداد
ل ما يعادل نسبة ‎)“٠١(‏ من قيمة الضريبة او كامل ضريبة
*معدلة بقانون بالقانون رقم ” بتاريخ 1١-يناير- ‎٠١77‏ الجدول
ويتحمل كل ملتزم (الجهة / المسجل) بالضريبة الإضافية
المقررة قانوناً علي التأخير او عدم سداد الضريبة او ضريبة
الجدول المستحقة - بحسب الأحوال- في المواعيد المقررة
قانوناء كل فيما يخصه.
وعلي المسجل أداء الضريبة دورياً اللي المأمورية المختصة رفق
اقراره الشهري في الموعد المنصوص عليه بالمادة (١؟)‏ من
قانون الإجراءات الضريبية الموحد» ويجوز لرئيس المصلحة
تحديد جهة السداد ووسيلته.
وتؤدي الضريبة المستحقة بالنسبة للسلع المستوردة في
مرحلة الافراج الجمري عنها من الجمرك المختص وقت
سداد الضريبة الجمركية ووفقاً للإجراءات الجمركية المقررة
في هذا الشأن على ان تسدد كل من الضريبة وضريبة الجدول
بايصالين مستقلين» ما لم يثبت ان المسجل غير المقيم قام
بتحصيل الضريبة على السلع المستوردة التي يتم الافراج عنها
من الجمارك
ولا يجوز الافراج النهائي عن السلع المستوردة قبل سداد
الضريبة المستحقة بالكامل» ما لم يثبت ان المسجل غير
المقيم قام بتحصيل الضريبة عن السلع المستوردة التي يتم
الافراج عتها من الجماركء وفي حالة عدم أداء الضريبة في
المحاسب القانوني 004 0 0 اما"
79,"الموعد المحدد تستحق الضريبة الإضافية ويتم تحصيلها مع
الضريبة بذات إجراءاتها. *
*معدلة بالقرار الوزاري رقم -15- بتاريخ 7١-يناير-77١”‏
(مادة ‎)2١‏
‏*ملغاة بالقرار الوزاري رقم -15- بتاريخ 7١-يناير-‏
1
(مادة ‎)]١‏
‏في تطبيق أحكام المواد أرقام (١؟)‏ و (01) و(09) من
القانونء تكون الضرببة واجبة الأداء في الأحوال الأتية:
١-من‏ واقع الإقرار الضربي.
؟-من واقع الاتفاق باللجنة الداخلية.
من واقع قرار لجنة الطعن ولوكان مطعوناً عليه.
5-في حالة عدم الطعن على نماذج الإخطار بعناصر ربط
الضردبة.
د-من واقع حكم محكمة واجب النفاذ ولوكان مطعوناً عليه.
وفى جميع الأحوال تستحق الضريبة الإضافية من تاريخ انتهاء
المدة المحددة لتقديم الإقرار حتى تاريخ السدادء» مع عدم
الإخلال بأحكام المادة /ا١‏ من هذه اللائحة.
(مادة 7 ؟) (مادة 57)
إذا قام شخص غير مقيم وغير مسجل بالمصلحة ببيع خدمة | في تطبيق أحكام المادة (7؟) من القانون» يلتزم المستفيد
داخل البلاد لمسجل غير لازمة لمزواله نشاطه» أو لجهة | من الخدمة الخاضعة للضريبة المستوردة من شخص غير
حكومية» أو هيئة عامة» أو اقتصادية» أو أية جهة أخرىء يلآزم | مقيم وغير مسجل بالمصلحة بموجب نظام تسجيل
المستفيد من الخدمة بحساب الضريبة المستحقة عليها | الموردين المبسط بحساب الضريبة المستحقة على هذه
وسدادها للمصلحة خلال ثلاثين يوما من تاريخ البيع ما لم يكن
المحاسب القانوني 272704 أاخطه ما"
80,"الشخص غير المقيم مسجلاً بموجب نظام تسجيل الموردين | الخدمة» وسدادها للمصلحة خلال ثلاثين يوما من تاريخ
المبسط ويجب على الأشخاص الاعتبارية الذين يخضعون | تقديمها له.
لنظام التكليف العكسي الوارد بالفقرة الثانية من المادة ‎)١1/(‏ من *مضافة بالقرار الوزارى رقم -14- بتاربخ ؟١١-يناير-‏
هذا القانون ويقومون باستيراد الخدمات حساب الضريية | سو , م
المستحقة على تلك الخدمات وسدادها للمصلحة خلال ثلاثين 000
يوماً من تاريخ توريد الخدمة ما لم يكن الشخص غير المقيم
وغير المسجل والذي يقوم بتقديم الخدمة مسجلا بموجب
نظام تسجيل الموردين المبسط.
*معدلة بقانون بالقانون رقم ' بتار بخ ١""-يناير- ‎5١7١‏
‏(مادة 80) (مادة 7غ)

‎١‏ 001 اإفى تطبيق أحكام المادة ‎]١7[‏ من القانونء_تعتبر خدمات
يعتبر إصدار الفاتورة من مؤدى الخدمة هو الواقعة المنشئة 0 ا اا ادء
للضريبة وفقا لإحكام هذا القانون بالنسبة للخدمات ذات ذات مبيعة مستمرة الخدمات الني تؤدى بصفة منتظمة أو
الطبيعة المستمرةء وتحدد اللائحة التنفيذية ماهية هذه غير متقطمة لتحقيق احتياجات المستفيدين منها» وتحصل
الخدمات. قيمتها نقدا أو بفاتورة أو بما يقوم مقامها.

‏وتعد من الخدمات ذات الطبيعة المستمرة:
١-خدمات‏ الاتصالات والفاكس.
؟-خدمات مقاولات التشييد واليناء.
“٠-خدمات‏ النظافة والحراسة.
5-خدمات نقل البضائع والمواد.

‏(مادةء ؟)

‏*ملغاة بقانون الإجراءات الضربيية الموحد الصادر بتاريخ ‎-١19‏
‏سمسخمسسم ااا

‏(مادةهم) (مادة غغ)

‏0
‏المحاسب القانوني 4 اأانطها/ا"
81,"‎9٠‏ القا 9 نْ
ا ا اه
‎٠60‏
‏يمر سك الحدول
صرديبة الجدول
المواد من 1 7؟ الى 27
دكان الضرائب تجميع واعداد: مصطفى سلامة عبد السميع لم .انه لاعصق ااهل مه مكصا :اأقصع 51
‎١‏ المحاسب القانوني 4 اأاأطهالا"
82,"(الباب الثالث) الاب الثالث
ضريبة الجدول ضريبة الجدول
(مادة1؟) (مادة هغ)

تفرض ضريبة الجدول على بيع أو أداء أو استيراد السلع | في تطبيق حكم الفقرة الثانية من المادة ‎)١7(‏ من القانون,

والخدمات المنصوص عليها في الجدول المرافق ويكون سعر | يكون سعر ضريبة الجدول (صفر) على السلع والخدمات التي

ضريبة الجدول وفقا للنسب أو القيم المحددة قرين السلع | يتم تصديرهاء طبقاً للأوضاع والشروط الآنية:

والخدمات المنصوص عليها فيهء وذلك بالإضافة للضريبة | أولة: بالنسبة للسلع المصدرة:

المنصوص عليها في المادة (؟) من هذا القانون. يجب أن يتبع المصدر عند قيامة بتصدير سلعة الإجراءات

ويكون سعر ضريبة الجدول (صفر) على السلع والخدمات التي | الجمركية المقررة» وأن يحتفظ لمدة خمس سنوات

يتم تصديرهاء وذلك طبقاً للشروط والاوضاع التي تحددها | بالمستندات المتعلقة بالعملية» والمستندات الدالة على تمام

اللائحة التنفيذية. التصديرء بما في ذلك شهادة الصادر من الجمرك المختص أو

ولا تفرض ضريبة الجدول مرة أخرى إلا إذا حدث تغيير في حالة | أية شهادة رسمية من الجمارك تقوم مقامها.

السلعة ولا يعد تغبيرا في حالة السلعة عملية التعبئة» أو إعادة | ثانباً: بالنسبة للخدمات المصدرة:

التعبئة» أو التكريرء أو التنقية» أو الطحنء مع عدم الإخلال | يتعين اثبات التعامل بين مقدم الخدمة في مصر ومتلقيها في

باستحقاق الضريبة على السلع والخدمات الواردة بالجدول | الخارج عن طريق تقديم عقد اداء الخدمة أو بأية وسيلة

المرافق» وذلك كله مالم ينص في الجدول على خلاف ذلك. | أخرى حسب طبيعة الخدمة مع إرفاق المستندات الآتية:
١-صورة‏ كربونية أو إلكترونية للفاتورة الضريبية أو
المستخلص متضمنة بيانات تفصيلية عن الخدمة وعلى
الأخص نوعها وقيمتها وكذلك اسم ومحل اقامة كل من
مؤدى الخدمة والمستفيد منها.
؟-صورة من المستند الذي يفيد سداد قيمة الخدمة بمعرفة
متلقى الخدمة بالخارج بواسطة تحويل بن إلى أحد البنوك
الخاضعة لإشراف البنك المركزي وفقاً للضوابط التي
يحددهاء وفى حالة إثبات تعذر التحويل البني يعتد بأي من
طرق السداد أو التسودات الواردة بالمادة (0؟) من هذه
اللائحة.

المحاسب القانوني 77004 أاضخطه ما"
83,"(مادة 5/4)
في تطبيق أحكام المادتين رقمي (77) و (78) من القانون
تستحق ضرببة الجدول على السلع والخدمات المنصوص
عليها في الجدول المرافق لمرة واحدةء وذلك يتحقق إحدى
الوقائع الآتية:
١-بالنسبة‏ للسلع والخدمات المحلية فتستحق عند بيعها أو
أدائها بمعرفة منتجها في السوق المحلى.
؟-بالنسبة للسلع المستوردة فتستحق عند تحقق الواقعة
المنشئة للضريبة الجمركية.
”""-بالنسبة للخدمات المستوردة فتتحقق بتحقق واقعة تلقى
الخدمة بمصر.
ولا تستحق ضريبة الجدول مرة أخرى إلا إذا حدث تغيير في
حالة السلعة.
وذلك كله دون الإخلال باستحقاق ضبربية القيمة المضافة
المنصوص عليها في المادة ‎)١(‏ من القانون في كافة مراحل
التداول» وذلك ما لم ينص بالجدول على خلاف ذلك
(مادة/ا١؟)‏ (مادة 51غ)
للمسجل الحق في تسوية الضريبة السابق سدادها على أجزاء | في تطبيق حكم الفقرة الثانية من المادة (/؟) من القانونء
الآلات والمعدات وقطع الغيار المستخدمة في إنتاج سلع | تتم تسودة ضريبة الجدول على مردودات المبيعات من
وخدمات خاضعة لضريبة الجدول فقط من قيمة ضريبة | السلع الواردة بالجدول المرافق للقانون بالشروط
الجدول في حدود المستحق منها حتى يتم استنقاذها. والأوضاع الآتية:
١-لا‏ تتم تسوية إلا ما سبق سداده من ضبريبة الجدول على
وللمسجل الحق في تسوية ضريبة الجدول السابق سدادها على | السلع المرتدة.
مردودات مبيعاته من ضريبة الجدول المستحقة وفقا للشروط | ١-أن‏ تكون السلع المرتدة قد تم استلامها فعلاً بالحالة التي
والأوضاع التي تحددها اللائحة التنفيذية. بيعت عليهاء وألا تكون تالفة أو منتهية الصلاحية.
المحاسب القانوني 77004 أاضخطه ما"
84,"""-يصدر المسجل اشعار خصم / إضافة مؤرخاً ويحمل رقماً
مسلسلاً مثيتاً فيه بيانات كلا من البائع والمشترى.
وتتم تسوبة الضريبة السابق سدادها على أجزاء الآلات
والمعدات وقطع الغيار المستخدمة في انتاج سلع وخدمات
خاضعة لضريبة الجدول فقط من قيمة ضريبة الجدول في
حدود المستحق منها حتى يتم استنفادها.
(مادة لا2)

تتم تسوية ضرببة الجدول في الحالات الآتية:
١-ضريبة‏ الجدول المحصلة عن التبغ الخام الوارد بالمسلسل
(١//بند؟‏ غيره) الواردة باولا من الجدول المرافق للقانون فى
حالة دخوله في منتج محلى من ضريبة الجدول المستحقة
على هذا المنتج المحلى الذي يدخل الصنف في تكوينه.
؟-ضيريية الجدول المحصلة عن تبغ مصنوع خلاصات وأرواح
التبغ الواردة بالمسلسل [تابع ١/ب/بند١‏ غيرها] الواردة باولا
من الجدول المرافق للقانون في حالة دخوله في منتج محلى
من ضريبة الجدول المستحقة على هذا المنتج المحلى الذي
يدخل الصنف في تكوينه.
""-تتم تسوية ضريبة الجدول المحصلة على زيوت نباتية
للطعام ثابتة» سائلة» أو جامدة» أو منقاه» أو مكررة الواردة
بالمسلسل [""] باولا من الجدول المرافق للقانون في حالة
هدرجته ضمن المنتجات الواردة بالمسلسل [5] من
الجدول.
:-تتم تسوية ضريبة الجدول السابق سدادها بمعرفة مقاول
الباطن من ضريبة الجدول المسددة بمعرفة المقاول العام
عن الأعمال ذاتها.

المحاسب القانوني 004 0 0 اما"
85,"(مادة1؟) (مادة 4غ)
تستحق ضريية الجدول على السلع والخدمات المنصوص عليها | في تطبيق أحكام المادتين رقمي (77) و (78) من القانون
: لم َ ل لماه عا تستحق ضريبة الجدول على السلع والخدمات المنصوص
‎١‏ المرا ‎١‏ : | أو أداة :
في الجدول المرافق لمرة واحدة عند تحقق واقعة بيعها أو آدائها عليها في الجدول المرافق لمرة واحدةء وذلك بتحقق إحدى
لأول مرة أو استيرادها وذلك دون الإخلال باستحقاق الخبريبة | الوقائع الآنية:
‎٠. -‏ 6 | . 0 | 6م .4 5 ‎٠.‏ ا
المنصوص عليها فى الباب الثاق من هذا القانون. ‎١‏ بالنسبة للسلع والخدمات المحلية فتستحق عند بيعها أو
‎٠ 0 ١‏ أدائها بمعرفة منتجها في السوق المحلى.
وسرى حكم الفقرة الاولى من هذه المادة على السلع والخدمات ١-بالنسبة‏ للسلع المستوردة فتستحق عند تحقق الواقعة
المنصوص عليها في الجدول المرافق عند التصرف فيها في صورة | المنشئة للضريبة الجمركية.
سلع وخدمات مجانية أو عروض ترويجية وتتحدد القيمة في ""-بالنسبة للخدمات المستوردة فتتحقق بتحقق واقعة تلقى
. 2 . 0 . 2 الخدمة بمصر.
هذه الحالة وفقا لقوى السوق وظروف التعامل وتبين اللائحة ولا تستحق ضريبة الجدول مرة أخرى إلا إذا حدث تغيير في
التنفيذية ماهية العروض الترودجية. حالة السلعة. وذلك كله دون الإخلال باستحقاق ضردية
القيمة المضافة المنصوص عليها في المادة (؟) من القانون
في كافة مراحل التداول» وذلك ما لم ينص بالجدول على
خلاف ذلك.
(مادة 9غ2)
يسرى حكم المادة (5/8) من هذه اللائحة على السلع
والخدمات المنصوص عليها في الجدول المرافق للقانون عند
التصرف فيها فى صورة سلع وخدمات مجانية أو عروض
ترودجيه وتتحدد القيمة فى هذه الحالة وفقاً لقوى السوق
وظروف التعامل.
وفى تطبيق حكم الفقرة الثانية من المادة [8؟] من القانون»
يقصد بالعروض الترويجيةء العروض التي تقدم بناء على
السياسات البيعية التي تستخدمها الشركات والمنشآت
لتحفيز العملاء على تفضيل السلعة أو الخدمة المقدمة منها
أو لتعزيز ولائهم للعلامة التجارية بما يتفق وطبيعة كل نشاط
ولايعد من قبل العروض الترودجية ما يأقى:
دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع نمع طتأوعلاعصمع ااهل ©56أصا :اأقصاع 55
المحاسب القانوني 4 ا060726 عاط"
